!    antonym
@    hypernym
@i    instance_hypernym
~    hyponym
~i    instance_Hyponym
#m    member_holonym
#s    substance_holonym
#p    part_holonym
%m    member_meronym
%s    substance_meronym
%p    part_meronym
=    attribute
+    derivationally_related
;c    domain_topic
-c    member_topic
;r    domain_region
-r    member_region
;u    domain_usage
-u    member_usage
